Word count for the file: 'input.txt'
--------------------------------------
the                            : 24
of                             : 15
a                              : 12
it                             : 10
in                             : 7
library                        : 6
and                            : 5
is                             : 5
that                           : 5
be                             : 5
time                           : 4
are                            : 4
every                          : 4
but                            : 4
at                             : 3
end                            : 3
to                             : 3
ever                           : 3
will                           : 3
one                            : 3
as                             : 2
not                            : 2
or                             : 2
reality                        : 2
books                          : 2
this                           : 2
they                           : 2
galaxy                         : 2
was                            : 2
for                            : 2
if                             : 2
book                           : 2
you                            : 2
almost                         : 2
somewhere                      : 1
silence                        : 1
between                        : 1
collapsing                     : 1
stars                          : 1
last                           : 1
flicker                        : 1
light                          : 1
cosmos                         : 1
there                          : 1
exists                         : 1
place                          : 1
known                          : 1
only                           : 1
built                          : 1
stone                          : 1
metal                          : 1
isnt                           : 1
even                           : 1
located                        : 1
space                          : 1
we                             : 1
understand                     : 1
rather                         : 1
floats                         : 1
dimension                      : 1
perpendicular                  : 1
entropy                        : 1
pocket                         : 1
where                          : 1
flows                          : 1
sideways                       : 1
write                          : 1
themselves                     : 1
backward                       : 1
within                         : 1
contain                        : 1
complete                       : 1
histories                      : 1
conscious                      : 1
thought                        : 1
has                            : 1
been                           : 1
shelf                          : 1
holds                          : 1
internal                       : 1
monologue                      : 1
lonely                         : 1
astronaut                      : 1
orbiting                       : 1
dead                           : 1
planet                         : 1
another                        : 1
contains                       : 1
unspoken                       : 1
dreams                         : 1
jellyfish                      : 1
drifting                       : 1
under                          : 1
europa’s                     : 1
ice                            : 1
400                            : 1
million                        : 1
years                          : 1
from                           : 1
now                            : 1
librarians                     : 1
people                         : 1
echoes                         : 1
sentient                       : 1
afterimages                    : 1
civilizations                  : 1
long                           : 1
gone                           : 1
speak                          : 1
metaphor                       : 1
file                           : 1
poetic                         : 1
disorder                       : 1
misplaced                      : 1
biography                      : 1
fruit                          : 1
fly                            : 1
once                           : 1
triggered                      : 1
spontaneous                    : 1
creation                       : 1
new                            : 1
later                          : 1
deemed                         : 1
typo                           : 1
crown                          : 1
jewel                          : 1
strange                        : 1
shimmering                     : 1
tome                           : 1
bound                          : 1
paradox                        : 1
titled                         : 1
instructions                   : 1
escaping                       : 1
simulation                     : 1
reading                        : 1
causes                         : 1
amnesia                        : 1
so                             : 1
no                             : 1
remembers                      : 1
what                           : 1
says                           : 1
visitor                        : 1
insists                        : 1
best                           : 1
they’ve                      : 1
never                          : 1
read                           : 1
visitors                       : 1
rare                           : 1
journey                        : 1
requires                       : 1
neither                        : 1
speed                          : 1
nor                            : 1
distance                       : 1
perspective                    : 1
must                           : 1
capable                        : 1
realizing                      : 1
mundane                        : 1
moment                         : 1
laugh                          : 1
mistake                        : 1
heartbreak                     : 1
meme                           : 1
part                           : 1
an                             : 1
intricate                      : 1
narrative                      : 1
tapestry                       : 1
weaves                         : 1
together                       : 1
chaos                          : 1
universe                       : 1
into                           : 1
something                      : 1
meaningful                     : 1
do                             : 1
arrive                         : 1
you’ll                       : 1
find                           : 1
with                           : 1
your                           : 1
name                           : 1
on                             : 1
pages                          : 1
blank                          : 1
pen                            : 1
waiting                        : 1
because                        : 1
doesn’t                      : 1
just                           : 1
archive                        : 1
stories                        : 1
waits                          : 1
them                           : 1
written                        : 1
